"","points","rebounds","assists","steals","blocks","turnovers","personal_fouls","true_shooting_pct","points_in_paint","fast_break_pts","points_off_turnovers","efficiency","opp_points","opp_rebounds","opp_assists","opp_turnovers","opp_personal_fouls","opp_true_shooting_pct","opp_efficiency","awp","owp","sos","rpi"
"North Carolina Tar Heels_2018 Seed: 1 Tourn Games Played: 3",4,2.02596766129908,2.87600524496721,2.52588035826448,0.399914833237761,-0.619052829343739,0.843070388934767,-0.379542451498089,0.022176507268103,1.24445427179868,2.10352173083628,0.416301486156467,2.18344357231854,1.08166888209758,0.0902808976403149,1.30579533148163,0.503954370030384,-0.726971746603213,0.105682833415897,0.806229527925812,0.752028175711373,1.20531247752378,1.22673940009935,1.39888983589697
"Houston Cougars_2018 Seed: 3 Tourn Games Played: 3",4,-0.066551750761368,1.36153632189467,0.213920290411152,-0.0456852078924462,0.395945587449643,-0.731717017176299,0.782330074820891,-0.436907993886236,-0.712242213272438,2.44099268788532,-0.0889627666127405,0.419428045934843,-1.2531314430255,-0.426990932590743,-1.24876546860154,-0.473302404769143,-0.84154907067205,-1.83901177407043,-1.65723378643665,1.60766669418365,0.350365248633832,0.310915482388926,1.22041398516116
"Iona Gaels_2018 Seed: 16 Tourn Games Played: 1",3,0.212450837513359,-1.12153603165246,-0.768662738426513,0.19022069623531,-1.21611072157514,0.267513570457626,-0.313464393129236,0.356056144471262,-0.771692700929816,0.850612315585247,0.251987908020139,-0.552580509419437,1.61752469442091,1.47523450761379,1.94443553150242,0.0909470425853461,0.0177808598442215,1.43161097488385,1.87585626366572,-1.67452420701224,-1.37678150748689,-1.42662513341758,-2.11661475030726
"Utah State Aggies_2018 Seed: 8 Tourn Games Played: 1",4,0.611025963620111,1.34511931459849,1.54329732942682,-0.351489157687687,0.246681114391793,0.619242737304768,0.518017841345485,0.648200827024026,0.551726850399659,-0.00664149484967367,-0.0848549271593324,1.18610146065187,-0.0857312804639612,-0.952605856857786,-0.354669188572433,-0.327877289471595,0.571571259510264,-0.424688423171285,-0.498582216790445,0.985646333002118,-0.0445206911673533,-0.200935980391591,0.447801420791621
"Seton Hall Pirates_2018 Seed: 10 Tourn Games Played: 1",3,-0.365483095341432,-0.345832436907985,-0.53746673164118,0.321279531861842,-0.0717497614649546,0.28350125985977,0.639160948355046,-1.10466726829255,0.745587136238937,1.40142698111357,-0.54493294594105,-0.79524931199074,0.832878683518893,0.741042232447129,0.731019151462913,0.5504904069256,-0.243200822757017,0.945437323012267,1.07064657191617,-1.31015679296618,0.450045194603063,0.441747470633272,-0.461016398086827
"Georgia State Panthers_2018 Seed: 14 Tourn Games Played: 1",3,0.152664568597347,-1.43345917027987,-1.28885375369351,1.16879333558008,0.694474533565345,-0.443938607937728,-0.280425363944811,0.272586235170472,-0.301258407293167,0.796306644335975,0.77368351860298,-0.44991293910081,1.10080658968056,2.25948534699636,1.94443553150242,1.16709289578721,-0.746067967281353,0.724449299434275,1.30450285202825,0.218455841158439,-0.736529546838364,-0.781646384353341,-0.46571313100093
"Wofford Terriers_2018 Seed: 7 Tourn Games Played: 2",4,1.32846119061226,0.00713321995987097,0.387317295500151,0.102848139150956,-0.94743467007101,-1.00350773701273,-0.456633519595083,1.56636982933271,-0.0376084185517477,0.959223658083788,0.243772229113323,1.17810139023743,-0.372796894208602,-1.34890282356706,-0.418533208574512,0.399248287016149,-2.02551475271669,0.326670856993889,-0.723137394852611,1.46153517192771,-0.422154332627711,-0.462599956880284,0.537039346159531
"Auburn Tigers_2018 Seed: 5 Tourn Games Played: 5",3,0.810313526673487,-0.899906433154037,-0.075074718070514,2.34832285621886,0.793984182270578,-0.300049403318443,0.396874734335922,0.397791099121657,-0.479609870265303,1.40142698111357,2.56059368083554,0.486095299388497,0.239609748446633,0.670125933141259,0.156242971444201,2.3537618366152,-0.886106918921042,1.43161097488385,0.262779422438083,0.354973447476488,1.26473706069774,1.2405111883356,1.16874992310605
"Northeastern Huskies_2018 Seed: 13 Tourn Games Played: 1",2,-0.0466229944560288,-1.58942073959357,-0.190672721463181,-0.290328367728639,-1.76341378945393,-0.651778570165584,-0.979751481681827,1.56636982933271,-0.825973580964814,-0.37902324055896,-0.713354363530785,-0.229911002703751,0.622363900106154,-0.143325735367259,-0.0992131085641157,-1.04336885673553,-0.726971746603213,1.60840139374624,0.925815125710398,-0.123799566230469,-0.0387699250537444,-0.173392403919095,-0.207392820725401
"Kansas Jayhawks_2018 Seed: 4 Tourn Games Played: 2",1,0.0131632744599834,0.836192088416929,-0.653064735033846,0.181483440526875,-0.0916516912060013,1.11486110877119,-0.363022936905875,-0.228233220634261,1.00148271354679,0.75363790264012,-0.191658752947945,-0.072576284553126,0.488399947025321,0.874531737022886,0.731019151462913,-0.0661120819360073,-0.924299360277322,-0.336293213740088,0.548456128256816,0.369394321383324,2.37655184266225,2.23207994134539,1.93901412101853
"Washington Huskies_2018 Seed: 9 Tourn Games Played: 2",1,-1.16263334755494,-2.22968402414456,-1.63564776387151,2.12115420779954,1.72937488009977,1.04291650646155,0.281238132190432,-0.353438084585446,-0.435668205475067,1.13377760138502,0.814761913137062,-1.29525371289315,-0.525898554872411,0.611724274889365,0.794883171464994,1.90585248149875,-0.268662450327869,-0.0269099807308988,-0.304587802606561,0.400158852384574,0.812343459760462,0.675867870649471,0.762482526036355
